Trait,"Trait_Cat","Geneset","Geneset_Type","Geneset_Cat","Geneset_SubCat","Geneset_Cat_Detailed","CNV_Type","Effectsize","se","p_value","FDR_p_value","Effectsize_outside","se_outside","p_value_outside","FDR_p_value_outside"
"EA","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",0.018748674,0.007532108,0.012804659,0.074716573,-0.009471437,7.36128e-4,7.05e-38,3.15e-36
"FEV1","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",0.004063334,0.005846153,0.487028008,0.723450321,-0.006335737,5.72066e-4,1.67e-28,2.58e-27
"FEV1","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",3.98e-5,0.009134759,0.996526777,0.998339963,-0.016048822,0.00109548,1.39e-48,5.13e-46
"FI","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",-0.040592341,0.015017195,0.006870913,0.047448437,-0.020610396,0.001937681,2.04e-26,2.65e-25
"FI","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",0.002061641,0.009540484,0.828914627,0.923045248,-0.009295789,9.7252e-4,1.2e-21,1.12e-20
"FVC","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",0.003151648,0.008855435,0.721915797,0.867162078,-0.016065165,0.001061957,1.1e-51,1.01e-48
"FVC","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",0.007836067,0.005667155,0.166752677,0.398868953,-0.006601556,5.54559e-4,1.14e-32,2.66e-31
"Gamma","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",-0.019747658,0.007352,0.007231054,0.049143615,0.003421529,7.15222e-4,1.72e-6,4.19e-6
"Gamma","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",0.002721922,0.011418528,0.811588305,0.914458729,0.003392161,0.001378882,0.013890957,0.019160298
"Glucose","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",-9.18012e-4,0.008089317,0.909646477,0.961026394,9.17875e-4,7.88896e-4,0.244629988,0.27912425
"Glucose","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",-0.00502005,0.012627457,0.690961905,0.849653949,0.003908337,0.001527873,0.010527249,0.014790164
"GP","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",2.85784e-4,0.003619756,0.937071384,0.973054399,0.001442748,3.5312e-4,4.39e-5,9e-5
"GP","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",0.002164573,0.005659258,0.702102908,0.856112951,0.001313769,6.80443e-4,0.053513836,0.067696627
"GuiltyFeelings","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",-0.01487922,0.017394226,0.391560332,0.643747472,0.005004406,0.001666303,0.00281015,0.00432772
